ID,gender,eventNum,order,partnerID,match,int_corr,samerace,partnerAge,partnerRace,parterPrefAttractive,partnerPrefSincere,partnerPrefIntelligent,partnerPrefFun,partnerPrefAmbitious,partnerPrefSharedInterests,partnerDecision,pRatingAttractive,pRatingSincere,pRatingIntelligent,pRatingFun,pRatingAmbitious,pRatingSharedInterests,pLike,pChanceYes,pMetBefore,age,field,field_cd,race,imprace,imprelig,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
1,0,1,4,11,0,0.14,0,27,2,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,3,12,0,0.54,0,22,2,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,10,13,1,0.16,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,5,14,1,0.61,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,7,15,1,0.21,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,6,16,0,0.25,0,25,2,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,1,17,0,0.34,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,2,18,0,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,8,19,1,0.28,0,28,2,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
1,0,1,9,20,0,-0.36,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,Law,1,4,2,4,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7
2,0,1,10,11,0,0.29,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,9,12,0,0.18,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,6,13,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,1,14,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,3,15,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,2,16,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
