"","ID","gender","matchPercent","pRateAttr","pRateSincere","pRateIntell","pRateFun","pRateAmb","pRateShared","pApproval","pLikePercent","importanceRace","importanceReligion","wantsAttr","wantsSincere","wantsIntell","wantsFun","wantsAmb","wantsShared","otherGenderWantsAttr","otherGenderWantsIntell","otherGenderWantsFun","otherGenderWantsAmb","otherGenderWantsShared","selfRateAttr","selfRateSincere","selfRateIntell","selfRateFun","selfRateAmb","sameGenderWantsAttr","sameGenderWantsSincere","sameGenderWantsIntell","sameGenderWantsFun","sameGenderWantsAmb","sameGenderWantsShared"
"1",1,0,0.4,6.7,7.4,8,7.2,8,7.1,0.5,6.85,2,4,15,20,20,15,15,15,35,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,NA
"2",2,0,0.2,7.7,7.1,7.9,7.5,7.5,6.5,0.6,7.6,2,5,45,5,25,20,0,5,65,10,25,0,0,7,5,8,10,3,NA,NA,NA,NA,NA,NA
"3",3,0,0,6.55555555555556,6.77777777777778,7.22222222222222,6.22222222222222,7.11111111111111,6,0.444444444444444,6,8,4,35,10,35,10,10,0,50,20,30,0,0,8,9,9,8,8,NA,NA,NA,NA,NA,NA
"4",4,0,0.2,7,7.1,7.7,7.5,7.7,7.2,0.6,7.3,1,1,20,20,20,20,10,10,30,15,30,5,10,7,8,7,9,8,NA,NA,NA,NA,NA,NA
"5",5,0,0.2,5.3,7.7,7.6,7.2,7.8,6.2,0.3,6.1,8,1,20,5,25,25,10,15,50,10,20,5,5,6,3,10,6,8,NA,NA,NA,NA,NA,NA
"6",6,0,0.2,6.8,7.8,8.6,7,8,6.3,0.5,6.8,1,1,10,25,20,25,5,15,25,10,25,10,20,5,7,9,8,5,NA,NA,NA,NA,NA,NA
"7",7,0,0.2,7.9,7.6,8.2,7,7.5,6.7,0.7,7.6,2,4,15,15,25,20,15,10,30,13,25,10,10,6,6,7,5,7,NA,NA,NA,NA,NA,NA
"8",8,0,0.777777777777778,8.11111111111111,7.66666666666667,8.11111111111111,7.77777777777778,7.44444444444444,6.77777777777778,0.777777777777778,7.55555555555556,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,20,30,5,5,7,4,8,8,8,NA,NA,NA,NA,NA,NA
"9",9,0,0.7,7,7.4,7.5,7.8,6.9,6.3,0.7,7.1,1,1,20,10,20,30,10,10,30,10,20,10,10,7,6,7,10,7,NA,NA,NA,NA,NA,NA
"10",10,0,0.25,6.375,6.625,6,6.25,5.875,5.625,0.375,6,4,4,15,15,15,40,10,5,45,15,20,5,5,6,8,6,10,9,NA,NA,NA,NA,NA,NA
"11",11,1,0,5.55555555555556,8.66666666666667,8,5.33333333333333,6.44444444444444,5.22222222222222,0.444444444444444,6.22222222222222,7,3,35,20,20,20,0,5,25,20,20,25,5,8,9,8,7,5,NA,NA,NA,NA,NA,NA
"12",12,1,0.222222222222222,7.77777777777778,7.22222222222222,7.77777777777778,7.33333333333333,7.55555555555556,6.11111111111111,0.444444444444444,7.55555555555556,1,1,60,0,0,40,0,0,25,25,20,15,0,9,9,10,9,9,NA,NA,NA,NA,NA,NA
"13",13,1,0.333333333333333,4.66666666666667,7.66666666666667,8.66666666666667,6.66666666666667,5.88888888888889,5.88888888888889,0.333333333333333,6.33333333333333,3,5,19,18,19,18,14,12,20,16,18,16,14,4,7,8,8,3,NA,NA,NA,NA,NA,NA
"14",14,1,0.888888888888889,8,7.33333333333333,7.11111111111111,7.33333333333333,6.22222222222222,7.44444444444444,0.888888888888889,7.44444444444444,1,1,30,5,15,40,5,5,20,20,20,5,20,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"15",15,1,0.333333333333333,5.77777777777778,7.66666666666667,7.77777777777778,7.22222222222222,6.44444444444444,6.66666666666667,0.333333333333333,6.33333333333333,3,1,30,10,20,10,10,20,20,20,20,10,10,7,7,9,7,9,NA,NA,NA,NA,NA,NA
"16",16,1,0.222222222222222,5.66666666666667,8.22222222222222,7.77777777777778,4.44444444444444,6,4.66666666666667,0.333333333333333,5.55555555555556,9,2,50,0,30,10,0,10,50,30,5,5,5,6,6,8,8,6,NA,NA,NA,NA,NA,NA
"17",17,1,0.111111111111111,6.88888888888889,7.33333333333333,8.55555555555556,6.11111111111111,6.44444444444444,6.66666666666667,0.777777777777778,6.88888888888889,1,1,35,15,25,10,5,10,25,20,20,10,5,7,7,8,6,4,NA,NA,NA,NA,NA,NA
"18",18,1,0.111111111111111,5.11111111111111,7.55555555555556,7.88888888888889,5.33333333333333,7.77777777777778,5.55555555555556,0.333333333333333,5.88888888888889,8,8,33.33,11.11,11.11,11.11,11.11,22.22,10,20,25,25,10,6,8,8,6,9,NA,NA,NA,NA,NA,NA
"19",19,1,0.9,7.7,6.8,7.7,8.5,7.1,7.7,0.9,7.6,1,1,50,0,25,10,0,15,40,20,10,10,5,10,6,10,10,10,NA,NA,NA,NA,NA,NA
